"hospital_id","service_id"
"1","1"
"1","2"
"1","3"
"1","6"
"1","7"
"1","8"
"1","10"
"1","11"
"1","12"
"1","13"
"1","14"
"1","15"
"1","16"
"1","18"
"1","21"
"2","2"
"2","3"
"2","4"
"2","6"
"2","7"
"2","8"
"2","17"
"2","19"
"3","2"
"3","3"
"3","4"
"3","5"
"3","8"
"3","12"
"3","16"
"3","20"
"4","1"
"4","3"
"4","9"
"4","10"
"4","11"
"4","14"
"4","17"
"4","19"
"5","1"
"5","3"
"5","4"
"5","5"
"5","6"
"5","7"
"5","8"
"5","10"
"5","12"
"5","14"
"5","15"
"5","16"
"5","17"
"5","19"
"5","21"
"6","1"
"6","3"
"6","7"
"6","10"
"6","12"
"6","13"
"6","15"
"6","17"
"7","1"
"7","3"
"7","5"
"7","6"
"7","8"
"7","9"
"7","11"
"7","12"
"7","14"
"7","15"
"7","17"
"7","18"
"7","19"
"7","20"
"7","21"
"8","1"
"8","3"
"8","4"
"8","6"
"8","7"
"8","8"
"8","9"
"8","10"
"8","11"
"8","12"
"8","13"
"8","14"
"8","18"
"8","20"
"8","21"
"9","1"
"9","7"
"9","11"
"9","12"
"9","13"
"9","16"
"9","17"
"9","20"
"10","1"
"10","3"
"10","7"
"10","9"
"10","12"
"10","13"
"10","15"
"10","17"
"11","3"
"11","4"
"11","9"
"11","11"
"11","12"
"11","13"
"11","14"
"11","17"
"11","18"
"11","19"
"11","20"
"11","21"
"12","1"
"12","2"
"12","3"
"12","5"
"12","8"
"12","9"
"12","10"
"12","11"
"12","12"
"12","13"
"12","14"
"12","15"
"12","19"
"12","20"
"12","21"
"13","2"
"13","3"
"13","4"
"13","5"
"13","7"
"13","8"
"13","10"
"13","11"
"13","12"
"13","13"
"13","14"
"13","17"
"13","18"
"13","19"
"13","20"
"14","1"
"14","2"
"14","3"
"14","4"
"14","5"
"14","7"
"14","8"
"14","10"
"14","11"
"14","13"
"14","14"
"14","15"
"14","17"
"14","19"
"14","21"
"15","1"
"15","4"
"15","6"
"15","8"
"15","9"
"15","10"
"15","18"
"15","21"
"16","3"
"16","4"
"16","10"
"16","11"
"16","15"
"16","16"
"16","18"
"16","19"
"17","7"
"17","18"
"17","19"
"18","5"
"18","10"
"18","11"
"18","12"
"18","13"
"18","14"
"18","15"
"18","20"
"19","2"
"19","4"
"19","6"
"19","7"
"19","8"
"19","9"
"19","10"
"19","11"
"19","14"
"19","17"
"20","5"
"20","18"
"20","20"
"20","21"
"21","1"
"21","3"
"21","4"
"21","6"
"21","7"
"21","10"
"21","11"
"21","12"
"21","13"
"21","15"
"21","16"
"21","17"
"21","19"
"21","20"
"21","21"
"22","4"
"22","5"
"22","7"
"22","8"
"22","9"
"22","14"
"22","17"
"22","18"
"23","1"
"23","2"
"23","3"
"23","4"
"23","5"
"23","6"
"23","9"
"23","10"
"23","11"
"23","13"
"23","14"
"23","15"
"23","16"
"23","17"
"23","18"
"23","19"
"23","20"
"23","21"
"24","1"
"24","4"
"24","6"
"24","9"
"24","10"
"24","11"
"24","12"
"24","13"
"24","14"
"24","15"
"24","19"
"24","20"
"25","1"
"25","9"
"25","11"
"25","14"
"25","15"
"25","21"
"26","1"
"26","3"
"26","4"
"26","9"
"26","12"
"26","13"
"26","14"
"26","15"
"26","18"
"26","19"
"27","2"
"27","3"
"27","5"
"27","6"
"27","7"
"27","8"
"27","9"
"27","10"
"27","11"
"27","14"
"27","15"
"27","16"
"27","19"
"27","20"
"27","21"
"28","1"
"28","2"
"28","3"
"28","4"
"28","9"
"28","12"
"28","13"
"28","15"
"28","16"
"28","18"
"28","19"
"28","20"
"29","4"
"29","5"
"29","6"
"29","7"
"29","8"
"29","12"
"29","13"
"29","18"
"29","19"
"29","21"
"30","6"
"30","9"
"30","10"
"30","12"
"30","15"
"30","16"
"30","17"
"30","18"
"31","1"
"31","2"
"31","3"
"31","4"
"31","7"
"31","9"
"31","11"
"31","13"
"31","14"
"31","15"
"31","17"
"31","18"
"31","19"
"31","20"
"31","21"
"32","1"
"32","5"
"32","6"
"32","8"
"32","13"
"32","15"
"32","16"
"32","17"
"33","1"
"33","2"
"33","3"
"33","5"
"33","6"
"33","7"
"33","8"
"33","9"
"33","11"
"33","12"
"33","13"
"33","14"
"33","16"
"33","17"
"33","18"
"33","19"
"33","20"
"33","21"
"34","12"
"34","15"
"34","20"
"35","1"
"35","2"
"35","3"
"35","4"
"35","5"
"35","6"
"35","8"
"35","9"
"35","10"
"35","11"
"35","12"
"35","13"
"35","14"
"35","15"
"35","16"
"35","18"
"35","19"
"35","21"
"36","1"
"36","2"
"36","3"
"36","4"
"36","6"
"36","7"
"36","8"
"36","9"
"36","10"
"36","11"
"36","12"
"36","13"
"36","14"
"36","16"
"36","18"
"36","19"
"36","20"
"36","21"
"37","1"
"37","2"
"37","3"
"37","4"
"37","5"
"37","6"
"37","7"
"37","8"
"37","9"
"37","11"
"37","12"
"37","13"
"37","14"
"37","15"
"37","16"
"37","17"
"37","19"
"37","20"
"38","1"
"38","7"
"38","10"
"38","12"
"38","14"
"38","15"
"38","17"
"38","18"
"39","1"
"39","2"
"39","3"
"39","4"
"39","5"
"39","6"
"39","8"
"39","9"
"39","10"
"39","11"
"39","12"
"39","14"
"39","15"
"39","16"
"39","17"
"40","1"
"40","2"
"40","4"
"40","6"
"40","7"
"40","8"
"40","9"
"40","10"
"40","11"
"40","12"
"40","14"
"40","15"
"40","16"
"40","19"
"40","20"
"41","1"
"41","5"
"41","7"
"41","8"
"41","9"
"41","12"
"41","14"
"41","15"
"41","16"
"41","17"
"41","19"
"41","21"
"42","21"
"43","5"
"43","20"
"44","2"
"45","6"
"45","15"
"46","10"
"46","12"
"46","16"
"47","8"
"47","10"
"47","20"
"48","13"
"49","5"
"49","10"
"49","19"
"49","20"
"49","21"
"50","3"
"50","6"
"50","14"
"50","18"
"51","1"
"51","3"
"51","4"
"51","5"
"51","6"
"51","7"
"51","8"
"51","9"
"51","12"
"51","14"
"51","16"
"51","18"
"51","19"
"51","20"
"51","21"
"52","3"
"52","4"
"52","6"
"52","7"
"52","10"
"52","11"
"52","12"
"52","14"
"52","15"
"52","16"
"52","17"
"52","21"
"53","2"
"53","3"
"53","4"
"53","5"
"53","6"
"53","7"
"53","8"
"53","9"
"53","10"
"53","11"
"53","13"
"53","14"
"53","15"
"53","16"
"53","17"
"53","18"
"53","19"
"53","20"
"54","6"
"54","7"
"54","9"
"54","11"
"54","13"
"54","15"
"54","20"
"54","21"
"55","1"
"55","3"
"55","4"
"55","6"
"55","8"
"55","10"
"55","13"
"55","16"
"55","19"
"56","1"
"56","8"
"56","9"
"56","15"
"57","4"
"57","8"
"57","12"
"57","13"
"57","15"
"57","16"
"58","1"
"58","4"
"58","5"
"58","6"
"58","7"
"58","9"
"58","10"
"58","12"
"58","15"
"58","17"
"58","20"
"58","21"
"59","4"
"59","5"
"59","6"
"59","9"
"59","10"
"59","12"
"59","13"
"59","21"
"60","2"
"60","4"
"60","7"
"60","8"
"60","10"
"60","21"
"61","2"
"61","3"
"61","4"
"61","5"
"61","6"
"61","7"
"61","9"
"61","10"
"61","13"
"61","14"
"61","15"
"61","16"
"61","19"
"61","20"
"61","21"
"62","1"
"62","2"
"62","4"
"62","5"
"62","6"
"62","9"
"62","15"
"62","21"
"63","2"
"63","3"
"63","4"
"63","5"
"63","7"
"63","8"
"63","9"
"63","10"
"63","12"
"63","13"
"63","15"
"63","16"
"63","17"
"63","20"
"63","21"
"64","1"
"64","2"
"64","3"
"64","7"
"64","11"
"64","13"
"64","16"
"64","17"
"65","1"
"65","2"
"65","5"
"65","6"
"65","10"
"65","11"
"65","17"
"65","20"
"66","1"
"66","3"
"66","4"
"66","5"
"66","6"
"66","7"
"66","10"
"66","11"
"66","12"
"66","13"
"66","14"
"66","15"
"66","16"
"66","17"
"66","18"
"66","19"
"66","20"
"66","21"
"67","1"
"67","2"
"67","3"
"67","4"
"67","5"
"67","6"
"67","8"
"67","9"
"67","11"
"67","12"
"67","13"
"67","14"
"67","15"
"67","16"
"67","17"
"67","18"
"67","20"
"67","21"
"68","1"
"68","2"
"68","3"
"68","4"
"68","5"
"68","6"
"68","7"
"68","8"
"68","9"
"68","10"
"68","12"
"68","13"
"68","14"
"68","15"
"68","16"
"68","17"
"68","18"
"68","19"
"69","1"
"69","2"
"69","3"
"69","4"
"69","5"
"69","6"
"69","8"
"69","9"
"69","10"
"69","11"
"69","12"
"69","13"
"69","14"
"69","15"
"69","16"
"69","18"
"69","19"
"69","21"
"70","1"
"70","3"
"70","4"
"70","5"
"70","6"
"70","7"
"70","9"
"70","10"
"70","11"
"70","12"
"70","13"
"70","14"
"70","15"
"70","16"
"70","17"
"70","18"
"70","19"
"70","21"
"71","1"
"71","2"
"71","4"
"71","7"
"71","8"
"71","9"
"71","10"
"71","11"
"71","12"
"71","15"
"71","16"
"71","17"
"71","19"
"71","20"
"71","21"
"72","1"
"72","2"
"72","4"
"72","5"
"72","6"
"72","8"
"72","9"
"72","10"
"72","14"
"72","15"
"72","17"
"72","19"
"73","4"
"73","5"
"73","8"
"73","10"
"73","11"
"73","12"
"73","14"
"73","15"
"73","17"
"73","20"
"74","1"
"74","2"
"74","3"
"74","4"
"74","6"
"74","7"
"74","8"
"74","9"
"74","10"
"74","11"
"74","12"
"74","13"
"74","14"
"74","15"
"74","17"
"74","19"
"74","20"
"74","21"
"75","1"
"75","2"
"75","3"
"75","4"
"75","7"
"75","10"
"75","12"
"75","13"
"75","14"
"75","17"
"75","19"
"75","21"
"76","1"
"76","14"
"76","15"
"76","17"
"76","19"
"77","5"
"77","7"
"77","9"
"77","12"
"77","14"
"77","16"
"77","17"
"77","18"
"78","1"
"78","2"
"78","5"
"78","6"
"78","7"
"78","10"
"78","14"
"78","17"
"78","19"
"78","20"
"79","1"
"79","3"
"79","4"
"79","7"
"79","8"
"79","9"
"79","10"
"79","17"
"79","20"
"79","21"
"80","1"
"80","2"
"80","3"
"80","4"
"80","5"
"80","6"
"80","7"
"80","9"
"80","10"
"80","17"
"80","19"
"80","20"
"81","1"
"81","2"
"81","3"
"81","5"
"81","6"
"81","7"
"81","8"
"81","9"
"81","10"
"81","11"
"81","12"
"81","13"
"81","14"
"81","18"
"81","20"
"82","1"
"82","2"
"82","4"
"82","8"
"82","10"
"82","13"
"82","17"
"82","20"
"83","2"
"83","3"
"83","4"
"83","8"
"83","10"
"83","11"
"83","12"
"83","13"
"83","14"
"83","15"
"83","16"
"83","20"
"84","5"
"84","6"
"84","7"
"84","9"
"84","14"
"84","16"
"84","19"
"84","20"
"85","6"
"85","13"
"85","14"
"85","15"
"85","18"
"85","21"
"86","2"
"86","3"
"86","4"
"86","5"
"86","7"
"86","8"
"86","9"
"86","14"
"86","15"
"86","16"
"86","17"
"86","18"
"86","19"
"86","20"
"86","21"
"87","8"
"87","11"
"87","15"
"87","17"
"87","18"
"87","19"
"87","20"
"87","21"
"88","3"
"88","5"
"88","6"
"88","7"
"88","10"
"88","12"
"88","13"
"88","14"
"88","15"
"88","16"
"88","17"
"88","18"
"88","19"
"88","20"
"88","21"
"89","4"
"89","8"
"89","9"
"89","12"
"89","14"
"89","17"
"89","19"
"89","20"
"90","3"
"90","9"
"90","10"
"90","12"
"90","14"
"90","19"
"90","20"
"90","21"
"91","1"
"91","2"
"91","3"
"91","4"
"91","5"
"91","10"
"91","11"
"91","12"
"91","13"
"91","15"
"91","16"
"91","17"
"91","18"
"91","20"
"91","21"
"92","1"
"92","2"
"92","3"
"92","4"
"92","13"
"93","1"
"93","4"
"93","5"
"93","19"
"93","21"
"94","1"
"94","4"
"95","17"
"95","21"
"96","19"
"96","21"
"97","2"
"97","12"
"98","15"
"99","2"
"99","20"
"100","13"
"101","2"
"101","3"
"101","4"
"101","5"
"101","7"
"101","8"
"101","12"
"101","14"
"101","16"
"101","17"
"101","20"
"101","21"
"102","2"
"102","3"
"102","6"
"102","10"
"102","13"
"102","14"
"102","20"
"102","21"
"103","1"
"103","2"
"103","4"
"103","7"
"103","9"
"103","10"
"103","12"
"103","13"
"103","14"
"103","16"
"103","18"
"103","21"
"104","2"
"104","5"
"104","9"
"104","11"
"104","13"
"104","15"
"104","17"
"104","20"
"105","1"
"105","2"
"105","3"
"105","5"
"105","8"
"105","11"
"105","18"
"105","20"
"106","1"
"106","3"
"106","4"
"106","5"
"106","6"
"106","9"
"106","10"
"106","13"
"106","14"
"106","17"
"106","18"
"106","19"
"107","1"
"107","2"
"107","3"
"107","4"
"107","5"
"107","6"
"107","7"
"107","9"
"107","10"
"107","12"
"107","14"
"107","16"
"107","18"
"107","20"
"107","21"
"108","1"
"108","2"
"108","3"
"108","4"
"108","7"
"108","8"
"108","9"
"108","10"
"108","12"
"108","13"
"108","14"
"108","15"
"108","17"
"108","20"
"108","21"
"109","1"
"109","2"
"109","3"
"109","4"
"109","5"
"109","6"
"109","7"
"109","9"
"109","10"
"109","11"
"109","12"
"109","14"
"109","16"
"109","19"
"109","20"
