"id","name","place_id","address","type","beds","phone","email","website","created_at"
"1","Mohamed V","1","Route de Targuist, Al Hoceima","HP","300",NULL,NULL,NULL,"2025-12-14 14:22:20"
"2","C. d'oncologie d'Al Hoceima","1","Route de Tétouan, Al Hoceima","CRO","150","0539831111","cdoncologiealhoceima@hopitaux-marocains.ma","https://hopitaux-marocains.ma/cdoncologiealhoceima","2025-12-14 14:22:20"
"3","Imzouren","2","Route de Tétouan, Imzouren, Province de Tanger","HPR","200","0539582000",NULL,NULL,"2025-12-14 14:22:20"
"4","Targuist","3","Targuist, Province de Tanger-Tétouan-Al Hoceïma","HPR","120",NULL,NULL,NULL,"2025-12-14 14:22:20"
"5","Mohamed V","4","Chefchaouen","HP","400",NULL,NULL,NULL,"2025-12-14 14:22:20"
"6","Ksar El Kebir","5","Route de Tétouan, Ksar El Kebir, 12000","HPR","250",NULL,"ksar-el-kebir@hopitaux-marocains.ma","https://hopitaux-marocains.ma/ksar-el-kebir","2025-12-14 14:22:20"
"7","Lalla Meriem","6","Route de la plage, 12200 Larache","HP","200",NULL,NULL,NULL,"2025-12-14 14:22:20"
"8","Abou Kacem Zahraoui","7","Route de Tanger, 52000 Ouezzane","HP","300","0539861111","azh@hopitaux.gov.ma","https://www.hopitalaboukacemzahraoui.ma","2025-12-14 14:22:20"
"9","Assilah","8","Route de la plage, 92030 Assilah","HPR","200","0539482121",NULL,NULL,"2025-12-14 14:22:20"
"10","Mohammed Vi","9","Route de Bni Makada, 14000 Bni Makada","HPR","500","0527321111","hospitalmohammedvi@gmail.com","https://www.hopitalmohammedvi.ma","2025-12-14 14:22:20"
"11","Arrazi","10","Mghogha, Arrondissement de Mghogha","HPSYR","600",NULL,NULL,NULL,"2025-12-14 14:22:20"
"12","Mohamed V","11","Boulevard Mohammed V, Al Madina, Marrakech","HR","1000","0524380000",NULL,NULL,"2025-12-14 14:22:20"
"13","Al Kortobi","11","Route de Meknès, Al Madina","HR","250","0539833131",NULL,NULL,"2025-12-14 14:22:20"
"14","Duc De Tovar","11","Route de Tanger, Al Madina","HR","250","0537632345","info@ducdetovar.ma","https://www.ducdetovar.ma","2025-12-14 14:22:20"
"15","Centre d'oncologie","11","Route de l'hôpital, Al Madina","HIR","150","0537831234","centre.oncologie@almadina.ma","https://centre-oncologie-al-madina.ma","2025-12-14 14:22:20"
"16","Hôpital mère enfant Mohamed VI","12","Route de Gueznaïa, 26000 Guznaïa","HIR","450","0524833131",NULL,NULL,"2025-12-14 14:22:20"
"17","Hôpital psychiatrique Mohamed VI","12","Route de Gueznaia, 24000 Gueznaia","CPU","200","0535643434",NULL,NULL,"2025-12-14 14:22:20"
"18","Hôpital des spécialité Mohamed VI","12","Route de Gueznaia, 26000 Gueznaia","HIR","500","0543831111",NULL,NULL,"2025-12-14 14:22:20"
"19","Hôpital.Civil","13","Route de Larache, Tétouan","HP","500","0539932311",NULL,NULL,"2025-12-14 14:22:20"
"20","Errazi","13","Route de Tétouan, 93000 Tétouan","HPSYP","500","0539933131",NULL,NULL,"2025-12-14 14:22:20"
"21","Ben Karrich","14","Route de Meknès, Dar Bni Karrich, Meknès","HP","150","0553831414","benkarrich.hopital@gmail.com","https://benkarrich-hospital.ma","2025-12-14 14:22:20"
"22","Hassan II","15","Route de Fnideq, 32000 Fnideq","HPR","500","0539980000",NULL,NULL,"2025-12-14 14:22:20"
"23","Mohammed VI","16","Route de l'aéroport, 37220 M'Diq","HP","500","0539525151",NULL,NULL,"2025-12-14 14:22:20"
"24","Edderak","17","Route de l'aéroport, 61300 Berkane","HP","250","0535525151",NULL,NULL,"2025-12-14 14:22:20"
"25","Saidia","18","Route de l'hôpital, Saidia, Province de Nador, Région de Tanger-Tétouan-Al Hoceïma","HPR","200","0528313131",NULL,NULL,"2025-12-14 14:22:20"
"26","Driouch","19","Route de la ville, Driouch, Province de Driouch, Région Tanger-Tétouan-Al Hoceïma","HP","150","0539888888","hpdriouch@minss.gov.ma","https://www.minss.gov.ma/fr/hopitaux/hpdriouch","2025-12-14 14:22:20"
"27","Hassan II","20","Bouarfa, Province de Khenifra","HP","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"28","Guercif","21","Route de Meknès, Guercif 35000","HP","250","0668323456","hopital.guercif@minss.gov.ma","https://hopitalguercif.minss.gov.ma","2025-12-14 14:22:20"
"29","Jrada","22","Route de Laaouinate, Jrada","HP","150","0611223344","jrada.hopital@laaouinate.ma","https://jrada.hopital.ma","2025-12-14 14:22:20"
"30","Mohammed Vi","23","Route de la ville, Al Aaroui","HPR","250","0583000000","mohammedvi.alaroui@hopitaux.ma","https://hopitaux.ma/mohammedvi-alaroui","2025-12-14 14:22:20"
"31","Hassani","24","Route de l'aéroport, 62180 Nador","HP","250","0539832311","hassani.hopital@gmail.com","https://hassani-hospital.ma","2025-12-14 14:22:20"
"32","Zaio","25","Zaio","HPR","120",NULL,NULL,NULL,"2025-12-14 14:22:20"
"33","Al Farabi","26","Route de Tafilalet, 60000 Oujda","HR","600","0538831111",NULL,NULL,"2025-12-14 14:22:20"
"34","Hôpital Psychiatrique","26","Route de la Zitoune, 60000 Oujda","CPU","300",NULL,NULL,NULL,"2025-12-14 14:22:20"
"35","Hôpital des Spécialitéss","26","Route de Tafilalet, 60300 Oujda","HIR","600",NULL,NULL,NULL,"2025-12-14 14:22:20"
"36","Hôpital Mère-Enfant","26","Route de la Zitoune, 60000 Oujda","HIR","500",NULL,"hme.oujda@minss.gov.ma","https://www.hme-oujda.ma","2025-12-14 14:22:20"
"37","Centre d'oncoligie Hassan II","27","Route de Sidi Moussa, 20100 Sidi Moussa Lemhaya","HIR","150","0523932222","info@centre-oncologie-hassan2.ma","https://centre-oncologie-hassan2.ma","2025-12-14 14:22:20"
"38","HPr Laayoune Sidi Mellouk","28","Route de l'aéroport, El Aioun Sidi Mellouk, Laâyoune-Sakia El Hamra","HPR","150","0528831212",NULL,NULL,"2025-12-14 14:22:20"
"39","Taourirt","29","Route de Marrakech, Taourirt, Province de Ouarzazate","HP","150",NULL,NULL,NULL,"2025-12-14 14:22:20"
"40","Sidi Said","30","Boulevard Sidi Mohamed Ben Abdellah, Meknès 50000","HP","500",NULL,"sidi.said.hopital@gmail.com","https://www.hopital-sidisaid.ma","2025-12-14 14:22:20"
"41","Mohamed V","30","Boulevard Mohammed V, Meknès 50000","HP","500","0553852222",NULL,NULL,"2025-12-14 14:22:20"
"42","Pagnon","30","Boulevard Pagnon, Meknès 50000","HP","250","0535632222","hospitalempagnon@gmail.com","https://www.hospitalempagnon.ma","2025-12-14 14:22:20"
"43","Moulay Ismail","30","Route de Fès, Meknès 50000","HP","1000","0539222222",NULL,NULL,"2025-12-14 14:22:20"
"44","Centre d'oncologie","30","Boulevard Mohammed VI, Meknès 50000","CRO","150",NULL,"centre.oncologie.meknes@hopitaux.gov.ma","https://www.hopitaux.gov.ma/fr/centre-oncologie-meknes","2025-12-14 14:22:20"
"45","Marche Verte","31","Route de la Marche Verte, Missour (Mun.)","HP","250","0524832311","marcheverte.hopital@maroc.ma","https://marcheverte.hopital.ma","2025-12-14 14:22:20"
"46","S. Ahmed B. Driss Missouri","32","Route de Marrakech, Outat El Haj","HPR","200","0524833131",NULL,NULL,"2025-12-14 14:22:20"
"47","Prince My Hassan","33","Route de Meknès, El Hajeb","HP","200","0669823456","prince.my.hassan@hopital.ma","https://hopitalprincemyhassan.ma","2025-12-14 14:22:20"
"48","Al Ghassani","34","Rue Al Ghassani, Agdal, Rabat","HR","500","0537777777","info@alghassani.ma","https://www.alghassani.ma","2025-12-14 14:22:20"
"49","Ibn Al Baitar","34","Boulevard Ibn Sina, Agdal, Rabat 10050","HR","32","0537771717",NULL,NULL,"2025-12-14 14:22:20"
"50","Hôpital d'Oncologie","35","Boulevard Mohammed VI, 15000 Saïss, Fès","HIR","200",NULL,"hopital.oncologie@fes.ma","https://hopitaloncologie.ma","2025-12-14 14:22:20"
"51","Hôpital des spécialités","35","Route de Meknès, 52000 Saïss","HIR","600","0535770000",NULL,NULL,"2025-12-14 14:22:20"
"52","Hôpital Mère-Enfant","35","Route de Meknès, 52000 Saïss","HIR","300","0535660000",NULL,NULL,"2025-12-14 14:22:20"
"53","Omar Drissi","36","Boulevard Mohammed V, Fès","HIR","250",NULL,"omardrissi@hopitalmarocain.ma","https://www.hopitalomardrissi.ma","2025-12-14 14:22:20"
"54","Ibn Al Khatib","37","El Mariniyine","HR","150","0693833333",NULL,NULL,"2025-12-14 14:22:20"
"55","Ibn Al Hassan","37","Route de l'hôpital, El Mariniyine","CPU","250","0661123456","ibn.al.hassan@hopitaux-marocains.ma","https://www.hopitalibnalhassan.ma","2025-12-14 14:22:20"
"56","20 Aout (Azrou)","38","Route de Fès, Azrou","HP","300","0535785111",NULL,NULL,"2025-12-14 14:22:20"
"57","Mohamed V","39","Route de Fes, Sefrou","HP","300","0537833333",NULL,NULL,"2025-12-14 14:22:20"
"58","Hassan II","40","Route de Ghafsai, Ghafsai, Province de Taza","HPR","200","0668823456",NULL,NULL,"2025-12-14 14:22:20"
"59","Taounate","41","Route de Meknès, Taounate","HP","250","0535582121",NULL,NULL,"2025-12-14 14:22:20"
"60","Ibn Baja","42","Route de Fès, 1, Taza","HP","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"61","Al Idrissi","43","Route de Sidi Kacem, Kénitra","HP","500","0543633333",NULL,NULL,"2025-12-14 14:22:20"
"62","Zoubir Skirej","44","Route de Tizi Ouzou, Souk El Arbaa (Mun.)","HPR","150","0543881111",NULL,NULL,"2025-12-14 14:22:20"
