"id","name","active_substance","dosage","form","presentation","therapeutic_class","manufacturer","price_public","price_hospital","commercialization_status"
"1","ACULAR","KETOROLAC TROMETHAMINE","0005","COLLYRE","FLACON DE 5 ML","OPHTALMOLOGIE","AFRIC PHAR","3630.00","2270.00","Non Commercialisé"
"2","ACUVAIL","KETOROLAC TROMETHAMINE","00045","COLLYRE EN SOLUTION","BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML","OPHTALMOLOGIE","AFRIC PHAR","12750.00","7970.00","Non Commercialisé"
"3","AERRANE","ISOFLURANE","1","LIQUIDE POUR INHALATION","FLACON DE 100 ML","ANESTHESIOLOGIE","AFRIC PHAR","33800.00","22500.00","Non Commercialisé"
"4","ALGIK","PARACETAMOL // CAFEINE","500 MG / 50 MG","COMPRIME","BOITE DE 16","ANTALGIQUES","AFRIC PHAR","1240.00","770.00","Commercialisé"
"5","ALPHAGAN","BRIMONIDINE (TARTRATE)","0002","COLLYRE","FLACON DE 5 ML","OPHTALMOLOGIE","AFRIC PHAR","8550.00","5340.00","Commercialisé"
"6","AMOXICILLINE LLORENTE","AMOXICILLINE","250 MG","POUDRE POUR SUSPENTION BUVABLE","FLACON DE 60 ML","INFECTIOLOGIE","AFRIC PHAR","2280.00","1430.00","Commercialisé AO"
"7","AMPICILLINE LLORENTE","AMPICILLINE","250 MG","POUDRE POUR SUSPENTION BUVABLE","FLACON DE 60 ML","INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE","AFRIC PHAR","2450.00","1530.00","Retiré du Marché"
"8","BELMAZOL","OMEPRAZOLE","20 MG","GELULE","BOITE DE 14","GASTRO-ENTEROLOGIE","AFRIC PHAR","4580.00","2860.00","Commercialisé"
"9","BEMAG","MAGNESIUM (GLYCEROPHOSPHATE) // PYRIDOXINE (CHLORHYDRATE)","500 MG / 125 MG","SOLUTION BUVABLE","BOITE DE 20 AMPOULE DE 10 ML","VITAMINES","AFRIC PHAR","3910.00","2440.00","Non Commercialisé"
"10","BIODROXIL","CEFADROXIL","1000 MG","COMPRIME ENROBE","BOITE DE 12","INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE","AFRIC PHAR","14300.00","8940.00","Non Commercialisé"
"11","BIOMOX","AMOXICILLINE","1 G","COMPRIME DISPERSIBLE","BOITE DE 12","INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE","AFRIC PHAR","5140.00","3210.00","Commercialisé AO"
"12","BROMAX","AMBROXOL","15 MG / 5 ML (0,30%)","SOLUTION BUVABLE","FLACON DE 200 ML","PNEUMOLOGIE","AFRIC PHAR","2710.00","1690.00","Commercialisé"
"13","BRONCOTEC","FORMOTEROL (FUMARATE)","12 µG","GELULE POUR INHALATION","BOITE DE 20","PNEUMOLOGIE","ATLAS PHARM","8460.00","5290.00","Non Commercialisé"
"14","BUDENA","BUDESONIDE","100 MCG","AEROSOL NASAL","FLACON DE 200 DOSES","ALLERGOLOGIE","AFRIC PHAR","13920.00","8700.00","Commercialisé"
"15","CATEX","CIPROFLOXACINE (CHLORHYDRATE)","250 MG","COMPRIME","BOITE DE 10","INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE","AFRIC PHAR","5140.00","3210.00","Commercialisé"
"16","CELLUVISC","CARMELLOSE (SODIQUE)","4 MG / 0,4 ML","COLLYRE RECIPIENT UNIDOSE","BOITE DE 30","OPHTALMOLOGIE","AFRIC PHAR","4150.00","2590.00","Non Commercialisé"
"17","CETIRAL","CETIRIZINE (DICHLORHYDRATE)","1 MG / ML","SOLUTION BUVABLE","FLACON DE 60 ML","ALLERGOLOGIE","AFRIC PHAR","2560.00","1600.00","Commercialisé"
"18","CHEMOSET","ONDANSETRON (CHLOHYDRATE)","2 MG / ML","SOLUTION INJECTABLE","BOITE DE 5 AMPOULE DE 2 ML","CANCEROLOGIE-HEMATOLOGIE","AFRIC PHAR","26900.00","17930.00","Commercialisé AO"
