"id","region","province","city"
"1","Tanger-Tetouan-Al Hoceima","Al Hoceima","AL HOCEIMA MUN"
"2","Tanger-Tetouan-Al Hoceima","Al Hoceima","IMZOUREN MUN"
"3","Tanger-Tetouan-Al Hoceima","Al Hoceima","TARGUIST MUN"
"4","Tanger-Tetouan-Al Hoceima","Chefchaouen","CHEFCHAOUEN MUN"
"5","Tanger-Tetouan-Al Hoceima","Larache","KSAR EL KEBIR MUN"
"6","Tanger-Tetouan-Al Hoceima","Larache","LARACHE MUN"
"7","Tanger-Tetouan-Al Hoceima","Ouezzane","OUEZZANE MUN"
"8","Tanger-Tetouan-Al Hoceima","Tanger Assilah","ASSILAH MUN"
"9","Tanger-Tetouan-Al Hoceima","Tanger Assilah","BNI MAKADA ARROND"
"10","Tanger-Tetouan-Al Hoceima","Tanger Assilah","MGHOGHA ARROND"
"11","Tanger-Tetouan-Al Hoceima","Tanger Assilah","AL MADINA ARROND"
"12","Tanger-Tetouan-Al Hoceima","Tanger Assilah","GUEZNAIA MUN"
"13","Tanger-Tetouan-Al Hoceima","Tetouan","TÉTOUAN MUN"
"14","Tanger-Tetouan-Al Hoceima","Tetouan","DAR BNI KARRICH"
"15","Tanger-Tetouan-Al Hoceima","Mdiq-Fnideq","FNIDEQ MUN"
"16","Tanger-Tetouan-Al Hoceima","Mdiq-Fnideq","MDIQ MUN"
"17","Oriental","Berkane","BERKANE MUN"
"18","Oriental","Berkane","SAIDIA MUN"
"19","Oriental","Driouch","DRIOUCH MUN"
"20","Oriental","Figuig","BOUARFA MUN"
"21","Oriental","Guercif","GUERCIF MUN"
"22","Oriental","Jerada","LAAOUINATE"
"23","Oriental","Nador","AL AAROUI MUN"
"24","Oriental","Nador","NADOR MUN"
"25","Oriental","Nador","ZAIO MUN"
"26","Oriental","Oujda Angad","OUJDA MUN"
"27","Oriental","Oujda Angad","SIDI MOUSSA LEMHAYA"
"28","Oriental","Taourirt","EL AIOUN SIDI MELLOUK MUN"
"29","Oriental","Taourirt","TAOURIRT MUN"
"30","Fès-Meknès","Meknes","MEKNÈS MUN"
"31","Fès-Meknès","Boulemane","MISSOUR MUN"
"32","Fès-Meknès","Boulemane","OUTAT EL HAJ MUN"
"33","Fès-Meknès","El Hajeb","EL HAJEB MUN"
"34","Fès-Meknès","Fes","AGDAL ARROND"
"35","Fès-Meknès","Fes","SAISS ARROND"
"36","Fès-Meknès","Fes","FÈS-MÉDINA ARROND"
"37","Fès-Meknès","Fes","EL MARINIYINE ARROND"
"38","Fès-Meknès","Ifrane","AZROU MUN"
"39","Fès-Meknès","Sefrou","SEFROU MUN"
"40","Fès-Meknès","Taounate","GHAFSAI MUN"
"41","Fès-Meknès","Taounate","TAOUNATE MUN"
"42","Fès-Meknès","Taza","TAZA MUN"
"43","Rabat-Salé-Kénitra","Kenitra","KÉNITRA MUN"
"44","Rabat-Salé-Kénitra","Kenitra","SOUK EL ARBAA MUN"
"45","Rabat-Salé-Kénitra","Khémisset","KHÉMISSET MUN"
"46","Rabat-Salé-Kénitra","Khémisset","ROMMANI MUN"
"47","Rabat-Salé-Kénitra","Khémisset","TIFLET MUN"
"48","Rabat-Salé-Kénitra","Rabat","AGDAL RIYAD ARROND"
"49","Rabat-Salé-Kénitra","Rabat","HASSAN ARROND"
"50","Rabat-Salé-Kénitra","Salé","BAB LAMRISSA ARROND"
"51","Rabat-Salé-Kénitra","Salé","HSSAINE ARROND"
"52","Rabat-Salé-Kénitra","Salé","TABRIQUET ARROND"
