"id","name","description"
"1","Urgences 24/7","Service d'urgences médicales disponible 24h/24."
"2","Consultation Générale","Consultation médicale"
"3","Cardiologie","Consultation et traitement des maladies cardiovasculaires."
"4","Neurologie","Diagnostic et traitement des maladies du système nerveux."
"5","Pédiatrie","Soins pédiatriques"
"6","Gynécologie Obstétrique","Gynéco obstétrique"
"7","Chirurgie Générale","Service de chirurgie générale et interventions chirurgicales."
"8","Radiologie","Service d'imagerie médicale offrant des examens radiologiques diagnostiques."
"9","Imagerie Médicale","Service d'imagerie médicale et radiologie diagnostique."
"10","Laboratoire d'Analyses","Laboratoire d'analyses biologiques et tests diagnostiques."
"11","Pharmacie Hospitalière","Dispensation de médicaments et conseil pharmaceutique."
"12","Réanimation","Soins intensifs"
"13","Oncologie","Diagnostic et traitement des cancers et tumeurs."
"14","Ophtalmologie","Consultation et traitement des maladies des yeux."
"15","ORL","Traitement des pathologies de l'oreille, du nez et de la gorge."
"16","Dermatologie","Diagnostic et traitement des maladies de la peau."
"17","Rhumatologie","Diagnostic et traitement des maladies articulaires."
"18","Psychiatrie","Prise en charge des troubles mentaux et psychologiques."
"19","Urologie","Diagnostic et traitement des pathologies urinaires et génitales."
"20","Néphrologie","Néphrologie médicale"
"21","Médecine Interne","Médecine interne"
