"id","name","category","activity","city","address"
"1","2B MEDICAL","DISPOSITIF MÉDICAL","Importation, Distribution, DM steriles DM non steriles","CASABLANCA","N2$1 $2UE ABOU BAKER IBN ZOHR QUARTIER DES HOPITAUX CASABLANCA"
"2","2H BUSINESS SARL","DISPOSITIF MÉDICAL","Importation, Distribution, DM non steriles","RABAT","RUE EL BARAKA MAGASIN N 11 CYM RABAT"
"3","3D MEDICA","DISPOSITIF MÉDICAL","Importation, Distribution, DM steriles DM non steriles","CASABLANCA","84 BOULEVARD MOULAY DRISS PREMIER GALERIE LA RENAISSANCE MAGASIEN 34 CASABLANCA"
"4","3GCOM SARL","DISPOSITIF MÉDICAL","Exportation, Maintenance,","RABAT","11. RUE ANISSONE SECTEURE 22 HAY RIYAD RABAT"
"5","3M MAROC","DISPOSITIF MÉDICAL","Importation, DM steriles","CASABLANCA","IMMEUBLE 4 ZENITH LOTISSEMENT ATTAOUFIK SIDI MAAROUF CASABLANCA"
"6","3MEDICAL SARL","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, Maintenance, DM steriles","CASABLANCA","128 BOULEVARD LAHCEN OUIDDER ETAGE 2 APPARTEMENT A8 IMMEUBLE AL WAHDA CASABLANCA"
"7","5G DENTAL SARL","DISPOSITIF MÉDICAL",NULL,"CASABLANCA","HAY JAMIL RUE 5 N 26 SIDI MOUMEN LAKDIM"
"8","AABOUD NEGOCE SARL","DISPOSITIF MÉDICAL","Importation, DM steriles","TANGER","RUE LALLA CHAFIA N 9 9 BIS TANGER"
"9","ABC DENTAIRE SARL","DISPOSITIF MÉDICAL","Importation, Distribution, DM non steriles","CASABLANCA","HAY MOULAY ABDELLAH RUE 246 N 27/29 CASABLANCA"
"10","ABLENS","DISPOSITIF MÉDICAL","Fabrication Importation, Distribution, DM steriles","RABAT","457 AVENUE HASSAN 2 RESIDENCE MERYEM MAGASIEN 10 RABAT"
"11","ABMED SARL","DISPOSITIF MÉDICAL","Importation, Distribution, Maintenance, DM steriles DM non steriles","RABAT","$1 $2UE ABOU FARIS MARINI IMMEUBLE B APPARTEMENT 2 RABAT"
"12","ACADEMY SARL AU","DISPOSITIF MÉDICAL","Exportation, DM non steriles","CASABLANCA","3 RUE TABIT BNOU KORRA QUARTIER DES HOPITEUAX CASABLANCA"
"13","ACCEMEDIC SARL","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, DM steriles DM non steriles","TIFLET","223. QUARTIER ECONOMIQUE TIFLET."
"14","ACCENTIS MEDICAL","DISPOSITIF MÉDICAL","Importation, DM steriles",NULL,"ANGEL BOULEVERD DES FAR ET RUE ALLAL BEN ABDELLAH IMMEUBLE HAJAR APPARTEMANT 8 ETAGE 3 MOHAMMADIA"
"15","ACROMEDIC SARL","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, DM steriles DM non steriles","MARRAKECH","HAMZA 2 FROUGA N 9 M`HAMID MARRAKECH"
"16","ACTILAB SARL","DISPOSITIF MÉDICAL","Fabrication Importation, Distribution, DM steriles DM non steriles","RABAT","$1 $2IS RUE TOBROUK HASSAN RABAT"
"17","ADVANCED MEDICAL SERVICES SARL","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, Maintenance, DM non steriles","CASABLANCA","15 RUE AIN CHIFAA QU BOURGOGNE CASABLANCA"
"18","AETHER MAROC","DISPOSITIF MÉDICAL","Importation, Distribution,","CASABLANCA","43 SALOMA 1 AIN SEBAA CASABLANCA"
"19","AFNORMED","DISPOSITIF MÉDICAL","Importation, Distribution, Maintenance, DM non steriles","CASABLANCA","AMAL 1 N 336 TIT MILLIL CASABLANCA"
"20","AFRI 5 SARL","DISPOSITIF MÉDICAL","Importation, DM non steriles",NULL,"MAGASIEN 2 IMMEUBLE 10 BELLE VUE 3 MEKNES"
"21","AFRIC MED INSTRUMENTS","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles",NULL,"RUE SOUMAYA RESIDENCE SHEHRAZADE 3 ETAGE 5 N 22 PALMIER CASANLANCA"
"22","AFRICA INTERNET HOLDING","DISPOSITIF MÉDICAL","Importation, Distribution, DM steriles","CASABLANCA","COMPLEX ERAC N 29 MED VI IMMEUBLE F3 N 2 ETAGE 1 CASABLANCA"
"23","AFRICAINE GATE","DISPOSITIF MÉDICAL","Importation, Distribution, DM steriles DM non steriles","AGADIR","RESIDENCE EL BARAKA GH1 APPARTEMENT N09 ADRAR TIKIOUNE AGADIR"
"24","AFRICAMEDICAL SARL AU","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles","CASABLANCA","12 RUE SABRI BOUJEMAA $1 $2R ETAGE CASABLANCA"
"25","AFRICARE","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, DM steriles DM non steriles","CASABLANCA","11 BOULEVARD ZEKTOUNI APPARTEMENT N 11 $1 $2ME ?TAGE CASABLANCA"
"26","AFRIC-PHAR","DISPOSITIF MÉDICAL","Fabrication Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles","MOHAMMEDIA","ZONE INDUSTRIELLE OUEST AIN HARROUDA ROUTE REGIONALE N322 KM 12. 400 AIN HARROUDA 28630 MOHAMMEDIA"
"27","AFROBIOMEDIC","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles","CASABLANCA","RUE 82 N?94 SIDI MARROUF CASABLANCA"
"28","AGENTIS","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles","CASABLANCA","29 RUE ZAID IBNOU REFAA $1 $2R ETAGE MARIF CASABLANCA"
"29","AGROLEAD","DISPOSITIF MÉDICAL","Importation, Exportation,","CASABLANCA","BOULEVARD MEHDI BEN BERKA. LOTISSEMENT EL ALEJ RUE 4 N 3 BOURGOGNE CASABLANCA"
"30","AIR LIQUIDE MAROC","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, Maintenance, DM non steriles","CASABLANCA","IMMEBLE MYRIAM ANGLE AUTOROUTE CASABLANCA RABAT ET ROUTE DE TIT MELLIL"
"31","AIR MEDICAL","DISPOSITIF MÉDICAL","Importation, Distribution, DM steriles DM non steriles","CASABLANCA","25 RUE 300 HAY MLY ABDELLAH AIN CHOCK CASABLANCA"
"32","AIRLIFE SARL AU","DISPOSITIF MÉDICAL","Fabrication Importation, Exportation, Distribution, Maintenance, DM non steriles","CASABLANCA","N 16 RUE 3 ET 4 MAZOLA HAY HASSANI CASABLANCA"
"33","ALABO SARL AU","DISPOSITIF MÉDICAL","Importation, Distribution, DM steriles DM non steriles",NULL,"7 RUE SAYAD EDDINE RESIDENCE NOURWAY2 N 2 BOURGAGNE"
"34","ALAMEDIC","DISPOSITIF MÉDICAL","Importation, Distribution, DM steriles DM non steriles",NULL,"39 HAY ERRAHA BEAUSEJOUR"
"35","ALAMI PHARMA SARL AU","DISPOSITIF MÉDICAL","Importation, DM non steriles","RABAT","17 RUE BAHT APPARTEMENT N 5 AGDAL-RABAT"
"36","ALCON MAROC","DISPOSITIF MÉDICAL","Importation, Distribution, Maintenance, DM steriles DM non steriles","CASABLANCA","TOUR CRYSTAL I BOULEVARD SIDI MOHAMED BEN ABDELLAH $1 $2ME ETAGE PLATEAU 11 QUARTIER MARINA 20030 CASABLANCA"
"37","ALGOL MEDICAL","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, DM steriles DM non steriles","CASABLANCA","295. ANGLE BD ABDELMOUMEN ET RUE PERCEE CASABLANCA"
"38","ALLIANCE ENVIRONNEMENT","DISPOSITIF MÉDICAL","Fabrication Importation, Exportation, Distribution,","CASABLANCA","2 RUE BOUGAINVILLE RESIDENCE TURPIN RDC BOURGOGNE CASABLANCA"
"39","ALMED SANTE","DISPOSITIF MÉDICAL","Distribution, DM steriles DM non steriles","CASABLANCA","N 309 LOTISSEMENT HADJ FATEH HAY OULEFA CASABLANCA"
